sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
 49	i	239084.977	239114.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2557	2557	phone	phone	1580	1580	SEGMENT	10543648	10544970	44100	239099.977	 15.00000	0.5	289.5	1708.5	2420.0	3834.0	70.94980	gili	mark01vox_ker	238944.977	239114.977	0.9117647
 50	i	243594.977	243644.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2596	2596	phone	phone	1619	1619	SEGMENT	10742539	10744743	44100	243619.977	 25.00000	0.5	409.5	2130.5	2596.0	3526.5	79.38274	minti	mark01vox_ker	243524.977	243984.977	0.2065217
 51	i	243784.977	243984.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2599	2599	phone	phone	1622	1622	SEGMENT	10750918	10759737	44100	243884.977	100.00000	0.5	364.5	2133.0	2731.5	3733.0	80.02485	minti	mark01vox_ker	243524.977	243984.977	0.7826087
 52	iː	247764.977	247844.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2634	2634	phone	phone	1657	1657	SEGMENT	10926436	10929963	44100	247804.977	 40.00000	0.5	284.0	2347.0	3173.5	3850.5	74.14330	giidə	mark01vox_ker	247614.977	247954.977	0.5588235
 53	i	248184.977	248224.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2640	2640	phone	phone	1663	1663	SEGMENT	10944958	10946721	44100	248204.977	 20.00000	0.5	258.0	1346.5	2558.0	3883.0	70.52747	kuli	mark01vox_ker	247954.977	248224.977	0.9259259
 54	iː	295724.977	295804.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2790	2790	phone	phone	1813	1813	SEGMENT	13041472	13044999	44100	295764.977	 40.00000	0.5	292.5	2210.0	2914.0	3725.0	74.04734	giidə	mark01vox_ker	295644.977	295894.977	0.4800000
 55	i	300102.982	300132.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2826	2826	phone	phone	1849	1849	SEGMENT	13234542	13235864	44100	300117.982	 15.00000	0.5	424.0	2069.0	2480.0	3632.5	73.02440	minti	mark01vox_ker	300042.982	300232.982	0.3947368
 56	i	300202.982	300232.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2829	2829	phone	phone	1852	1852	SEGMENT	13238952	13240274	44100	300217.982	 15.00000	0.5	378.0	2155.5	2927.0	3817.0	74.52280	minti	mark01vox_ker	300042.982	300232.982	0.9210526
 57	iː	301032.982	301102.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2845	2845	phone	phone	1868	1868	SEGMENT	13275555	13278641	44100	301067.982	 35.00000	0.5	318.5	2235.0	2925.5	3791.5	72.38842	giidə	mark01vox_ker	300962.982	301182.982	0.4772727
 58	i	301352.982	301392.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2851	2851	phone	phone	1874	1874	SEGMENT	13289667	13291430	44100	301372.982	 20.00000	0.5	262.0	1407.0	2460.0	3144.5	71.72289	kuli	mark01vox_ker	301182.982	301392.982	0.9047619
 59	i	302332.982	302372.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2865	2865	phone	phone	1888	1888	SEGMENT	13332885	13334648	44100	302352.982	 20.00000	0.5	278.0	2111.5	2561.0	3522.0	69.08186	ziwifiŋ	mark01vox_ker	302212.982	302622.982	0.3414634
 60	i	302402.982	302442.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2867	2867	phone	phone	1890	1890	SEGMENT	13335972	13337735	44100	302422.982	 20.00000	0.5	325.0	2154.0	2719.0	3624.5	72.93684	ziwifiŋ	mark01vox_ker	302212.982	302622.982	0.5121951
 61	i	302512.982	302592.982	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2869	2869	phone	phone	1892	1892	SEGMENT	13340823	13344350	44100	302552.982	 40.00000	0.5	303.5	2166.5	2887.5	3601.0	73.52457	ziwifiŋ	mark01vox_ker	302212.982	302622.982	0.8292683
 62	i	314184.977	314234.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2968	2968	phone	phone	1991	1991	SEGMENT	13855558	13857762	44100	314209.977	 25.00000	0.5	361.0	2092.5	2527.5	3549.5	76.88118	minti	mark01vox_ker	314134.977	314344.977	0.3571429
