sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
158	i	391559.989	391589.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3313	3313	phone	phone	1907	1907	SEGMENT	17267796	17269118	44100	391574.989	 15.00000	0.5	 455.0	1770.0	2587.0	4054.0	74.12221	faɗi	mark14vox_ker	391329.989	391589.989	0.94230769
159	i	451269.989	451379.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3518	3518	phone	phone	2112	2112	SEGMENT	19901007	19905857	44100	451324.989	 55.00000	0.5	 415.0	2316.0	2844.5	3919.5	74.92527	soope'iŋ	mark14vox_ker	450899.989	451419.989	0.81730769
160	i	453379.989	453419.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3540	3540	phone	phone	2134	2134	SEGMENT	19994058	19995821	44100	453399.989	 20.00000	0.5	 359.0	2396.5	2911.0	3731.5	73.74315	kina	mark14vox_ker	453279.989	453619.989	0.35294118
161	i	454739.989	454769.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3553	3553	phone	phone	2147	2147	SEGMENT	20054034	20055356	44100	454754.989	 15.00000	0.5	 256.0	2247.5	2765.0	3764.0	67.50866	piyer	mark14vox_ker	454669.989	454969.989	0.28333333
162	i	455169.989	455199.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3560	3560	phone	phone	2154	2154	SEGMENT	20072997	20074319	44100	455184.989	 15.00000	0.5	 325.0	1897.5	2540.5	3475.0	68.92429	faɗi	mark14vox_ker	454969.989	455199.989	0.93478261
163	i	480959.989	480999.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3636	3636	phone	phone	2230	2230	SEGMENT	21210336	21212099	44100	480979.989	 20.00000	0.5	 245.5	 935.5	2698.5	4319.5	56.69120	toki	mark14vox_ker	480749.989	480999.989	0.92000000
164	i	484739.989	484779.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3672	3672	phone	phone	2266	2266	SEGMENT	21377034	21378797	44100	484759.989	 20.00000	0.5	 365.0	1156.5	2637.5	3334.0	73.65562	kina	mark14vox_ker	484649.989	484999.989	0.31428571
165	i	487479.989	487529.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3699	3699	phone	phone	2293	2293	SEGMENT	21497868	21500072	44100	487504.989	 25.00000	0.5	 332.5	2310.0	2568.5	3762.0	74.02459	kina	mark14vox_ker	487399.989	487729.989	0.31818182
166	i	488169.989	488289.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3709	3709	phone	phone	2303	2303	SEGMENT	21528297	21533588	44100	488229.989	 60.00000	0.5	 281.5	2295.5	2878.5	4011.5	68.82752	hasi	mark14vox_ker	487919.989	488289.989	0.83783784
167	i	511699.989	511889.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3815	3815	phone	phone	2409	2409	SEGMENT	22565970	22574348	44100	511794.989	 95.00000	0.5	 422.5	2265.0	2735.0	3963.0	81.02538	cekiŋ	mark14vox_ker	511449.989	511989.989	0.63888889
168	i	513889.989	513939.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3832	3832	phone	phone	2426	2426	SEGMENT	22662549	22664753	44100	513914.989	 25.00000	0.5	1166.5	1341.5	2897.0	   0.0	49.41948	zudasi	mark14vox_ker	513519.989	513939.989	0.94047619
169	i	517479.989	517529.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	3870	3870	phone	phone	2464	2464	SEGMENT	22820868	22823072	44100	517504.989	 25.00000	0.5	 851.5	1746.5	   0.0	3052.5	37.06249	ɓasi	mark14vox_ker	517219.989	517529.989	0.91935484
170	i	534439.989	534479.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	4028	4028	phone	phone	2622	2622	SEGMENT	23568804	23570567	44100	534459.989	 20.00000	0.5	   0.0	1756.5	3030.0	3903.0	52.59663	zudasi	mark14vox_ker	534019.989	534479.989	0.95652174
