sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
145	u	232237.971	232277.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2223	2223	phone	phone	1608	1608	SEGMENT	10241695	10243458	44100	232257.971	 20.00000	0.5	362.0	1053.0	2705.0	3938.0	73.54134	kusulkusul	mark03vox_ker	232147.971	232807.971	0.16666667
146	u	232397.971	232437.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2225	2225	phone	phone	1610	1610	SEGMENT	10248751	10250514	44100	232417.971	 20.00000	0.5	411.0	1176.0	2608.0	3862.5	76.79094	kusulkusul	mark03vox_ker	232147.971	232807.971	0.40909091
147	u	232577.971	232607.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2228	2228	phone	phone	1613	1613	SEGMENT	10256689	10258011	44100	232592.971	 15.00000	0.5	301.0	1104.5	2640.5	1974.5	68.37772	kusulkusul	mark03vox_ker	232147.971	232807.971	0.67424242
148	u	232717.971	232767.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2230	2230	phone	phone	1615	1615	SEGMENT	10262863	10265067	44100	232742.971	 25.00000	0.5	408.5	1091.5	2597.0	3771.5	76.14235	kusulkusul	mark03vox_ker	232147.971	232807.971	0.90151515
149	uː	232837.971	232997.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2233	2233	phone	phone	1618	1618	SEGMENT	10268155	10275210	44100	232917.971	 80.00000	0.5	446.5	 966.0	2297.5	2664.5	75.24768	nuutuŋ	mark03vox_ker	232807.971	233337.971	0.20754717
150	u	233047.971	233147.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2235	2235	phone	phone	1620	1620	SEGMENT	10277416	10281825	44100	233097.971	 50.00000	0.5	349.5	1135.5	2598.5	3395.0	76.58701	nuutuŋ	mark03vox_ker	232807.971	233337.971	0.54716981
151	uː	244647.971	244767.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2307	2307	phone	phone	1692	1692	SEGMENT	10788976	10794267	44100	244707.971	 60.00000	0.5	387.5	1020.5	2547.5	3866.0	77.33686	cuuru	mark03vox_ker	244467.971	244847.971	0.63157895
152	u	244807.971	244847.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2309	2309	phone	phone	1694	1694	SEGMENT	10796032	10797795	44100	244827.971	 20.00000	0.5	395.5	1174.0	2605.0	3123.5	77.95213	cuuru	mark03vox_ker	244467.971	244847.971	0.94736842
153	uː	345047.971	345147.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2404	2404	phone	phone	1789	1789	SEGMENT	15216616	15221025	44100	345097.971	 50.00000	0.5	383.0	1149.0	2543.0	3836.0	77.83400	cuuruŋ	mark03vox_ker	344927.971	345337.971	0.41463415
154	u	345187.971	345247.971	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	2406	2406	phone	phone	1791	1791	SEGMENT	15222790	15225435	44100	345217.971	 30.00000	0.5	369.0	1105.0	2541.0	3583.5	78.30930	cuuruŋ	mark03vox_ker	344927.971	345337.971	0.70731707
